Relative Pressure,Indoor Temperature,Indoor Humidity,Outdoor Temperature,Outdoor Humidity,Dewpoint,Windchill,Wind Speed,Wind Direction,Rain Total,Time,Date
30.15,81.8,56,70.1,78,63,70.1,0,SSW,791.03,4:00,01.08.2009
30.15,82,56,69.9,78,62.8,69.9,0,SE,791.03,4:05,01.08.2009
30.15,81.8,56,69.9,77,62.4,69.9,1.5,SSE,791.03,4:10,01.08.2009
30.15,81.8,56,69.9,77,62.4,69.9,1.7,NNE,791.03,4:15,01.08.2009
30.15,81.8,56,69.8,77,62.3,69.8,0,SW,791.03,4:20,01.08.2009
30.15,81.6,56,69.6,77,62.1,69.6,0,NNE,791.03,4:25,01.08.2009
30.15,81.6,56,69.6,77,62.1,69.6,0,NE,791.03,4:30,01.08.2009
30.15,81.6,56,69.6,77,62.1,69.6,0,SW,791.03,4:35,01.08.2009
30.15,81.5,56,69.6,77,62.1,68.7,4.2,WSW,791.03,4:40,01.08.2009
30.15,81.5,56,69.4,77,61.9,69.4,0,NW,791.03,4:45,01.08.2009
30.15,81.5,56,69.4,77,61.9,69.4,0,NE,791.03,4:50,01.08.2009
30.15,81.3,56,69.4,77,61.9,69.4,0,NNE,791.03,4:55,01.08.2009
30.16,81.3,56,69.2,77,61.7,69.2,0,NNW,791.03,5:00,01.08.2009
30.16,81.3,56,69.2,77,61.7,69.2,2.9,NE,791.03,5:05,01.08.2009
30.16,81.3,56,69.2,77,61.7,69.2,0,N,791.03,5:10,01.08.2009
30.17,81.3,55,69.2,77,61.7,69.2,0,ENE,791.03,5:15,01.08.2009
30.17,81.3,55,69,77,61.6,69,0,NNE,791.03,5:20,01.08.2009
30.16,81.1,55,69,77,61.6,69,1.5,NE,791.03,5:25,01.08.2009
30.17,81.1,55,69,77,61.6,69,1.1,SSE,791.03,5:30,01.08.2009
30.17,81.1,55,69,77,61.6,69,0,NNW,791.03,5:35,01.08.2009
30.17,81.1,55,68.9,77,61.4,68.9,0,SSE,791.03,5:40,01.08.2009
30.17,81.1,55,68.7,77,61.2,68.7,0,NE,791.03,5:45,01.08.2009
30.17,80.9,55,68.7,77,61.2,68.7,0,ENE,791.03,5:50,01.08.2009
30.17,80.9,55,68.7,78,61.6,68.7,0,N,791.03,5:55,01.08.2009
30.18,80.9,55,68.5,77,61,68.5,0,NNE,791.03,6:00,01.08.2009
30.19,80.9,55,68.5,78,61.4,68.5,0,NNE,791.03,6:05,01.08.2009
30.19,80.7,55,68.5,78,61.4,68.5,0,NNW,791.03,6:10,01.08.2009
30.19,80.7,55,68.5,78,61.4,68.5,0,NE,791.03,6:15,01.08.2009
30.19,80.9,55,68.5,77,61,68.5,0,NE,791.03,6:20,01.08.2009
30.2,80.9,55,68.5,77,61,68.5,0,N,791.03,6:25,01.08.2009
30.2,80.9,55,68.5,77,61,68.5,0,NNW,791.03,6:30,01.08.2009
30.2,80.9,54,68.5,77,61,68.5,0,N,791.03,6:35,01.08.2009
30.2,80.9,54,68.5,77,61,68.5,0,N,791.03,6:40,01.08.2009
30.21,80.9,54,68.7,77,61.2,68.7,1.1,NE,791.03,6:45,01.08.2009
30.21,80.9,54,68.7,77,61.2,68.7,1.5,NNE,791.03,6:50,01.08.2009
30.21,80.9,54,68.7,77,61.2,68.7,0,NE,791.03,6:55,01.08.2009
30.22,80.6,55,68.9,76,61,68.9,0,N,791.03,7:00,01.08.2009
30.22,80.6,55,69,76,61.2,69,0,NE,791.03,7:05,01.08.2009
30.22,80.6,55,69,75,60.8,69,0,NNE,791.03,7:10,01.08.2009
30.23,80.6,54,69.2,75,61,69.2,0,NNE,791.03,7:15,01.08.2009
30.23,80.4,54,69.4,75,61.2,69.4,0,ENE,791.03,7:20,01.08.2009
30.23,80.4,54,69.4,74,60.8,69.4,0,NNE,791.03,7:25,01.08.2009
30.23,80.4,54,69.6,74,61,69.6,0,NE,791.03,7:30,01.08.2009
30.23,80.4,54,69.6,74,61,69.6,0,N,791.03,7:35,01.08.2009
30.23,80.4,54,69.6,74,61,69.6,0,N,791.03,7:40,01.08.2009
30.23,80.6,54,69.6,74,61,69.6,0,NNE,791.03,7:45,01.08.2009
30.23,80.2,54,69.8,74,61.1,69.8,0,NNE,791.03,7:50,01.08.2009
30.24,80.2,55,69.8,74,61.1,69.8,0,N,791.03,7:55,01.08.2009
30.24,80.2,55,69.8,74,61.1,69.8,0,NNE,791.03,8:00,01.08.2009
30.24,80.2,55,69.9,74,61.3,69.9,0,NNW,791.03,8:05,01.08.2009
30.24,80.2,55,70.1,74,61.5,70.1,0,N,791.03,8:10,01.08.2009
30.24,80.2,55,70.3,74,61.7,70.3,0,NE,791.03,8:15,01.08.2009
30.24,80.2,55,70.3,73,61.3,70.3,0,N,791.03,8:20,01.08.2009
30.24,80.2,55,70.3,74,61.7,70.3,0,N,791.03,8:25,01.08.2009
30.24,80.2,55,70.5,74,61.8,70.5,0,NE,791.03,8:30,01.08.2009
30.25,80.2,55,70.7,73,61.6,70.7,0,NE,791.03,8:35,01.08.2009
30.25,80.2,55,70.8,73,61.8,70.8,0,NE,791.03,8:40,01.08.2009
30.25,80.2,55,70.8,73,61.8,70.8,0,NE,791.03,8:45,01.08.2009
30.25,80.2,55,70.8,73,61.8,70.8,0,NE,791.03,8:50,01.08.2009
30.25,80.2,55,70.8,73,61.8,70.8,0,NE,791.03,8:55,01.08.2009
30.24,80.4,55,71.2,73,62.1,71.2,2,ENE,791.03,9:00,01.08.2009
30.24,80.4,55,71.2,72,61.7,71.2,0,NE,791.03,9:05,01.08.2009
30.24,80.4,55,71.4,72,61.9,71.4,0,ENE,791.03,9:10,01.08.2009
30.23,80.4,55,71.6,72,62.1,71.6,0,NE,791.03,9:15,01.08.2009
30.24,80.4,55,71.6,72,62.1,71.6,0,NNE,791.03,9:20,01.08.2009
30.24,80.6,54,71.9,72,62.4,71.9,0,NE,791.03,9:25,01.08.2009
30.24,80.7,54,72.1,72,62.6,72.1,0,NNE,791.03,9:30,01.08.2009
30.24,80.6,55,72.1,72,62.6,72.1,0,N,791.03,9:35,01.08.2009
30.24,80.6,55,72.3,72,62.8,72.3,0,N,791.03,9:40,01.08.2009
30.24,80.6,55,72.5,71,62.6,72.5,0,N,791.03,9:45,01.08.2009
30.24,80.6,55,72.5,72,63,72.5,0,NNE,791.03,9:50,01.08.2009
30.24,80.6,55,72.6,71,62.7,72.6,0,NNE,791.03,9:55,01.08.2009
30.24,80.6,55,73,71,63.1,73,0,ENE,791.03,10:00,01.08.2009
30.24,80.6,55,73.2,70,62.8,73.2,0,N,791.03,10:05,01.08.2009
30.24,80.6,55,73.4,70,63,73.4,0,NE,791.03,10:10,01.08.2009
30.24,80.6,55,73.5,69,62.8,73.5,0,NE,791.03,10:15,01.08.2009
30.24,80.7,55,73.9,68,62.7,73.9,0,NE,791.03,10:20,01.08.2009
30.24,81.1,54,73.9,68,62.7,73.9,0,NE,791.03,10:25,01.08.2009
30.24,80.7,54,74.1,67,62.5,74.1,3.3,NE,791.03,10:30,01.08.2009
30.24,80.7,54,74.4,67,62.8,74.4,0,NW,791.03,10:35,01.08.2009
30.24,80.7,54,74.4,66,62.4,74.4,0,NE,791.03,10:40,01.08.2009
30.24,80.7,54,74.8,66,62.7,74.8,0,NNE,791.03,10:45,01.08.2009
30.24,80.7,54,75.2,61,60.8,75.2,2.2,NE,791.03,10:50,01.08.2009
30.24,80.7,54,75.5,61,61.2,75.5,3.5,NE,791.03,10:55,01.08.2009
30.24,80.9,53,75.7,58,59.9,75.7,0,NE,791.03,11:00,01.08.2009
30.24,80.9,52,75.9,57,59.6,75.9,0,NNW,791.03,11:05,01.08.2009
30.25,80.9,52,76.1,58,60.3,76.1,0,NE,791.03,11:10,01.08.2009
30.24,80.9,52,76.2,58,60.4,76.2,0,ENE,791.03,11:15,01.08.2009
30.24,80.9,52,76.6,58,60.8,76.6,0,ENE,791.03,11:20,01.08.2009
30.24,80.9,52,76.8,58,60.9,76.8,2.9,NE,791.03,11:25,01.08.2009
30.24,81.1,52,76.8,57,60.4,76.8,0,ENE,791.03,11:30,01.08.2009
30.24,81.1,52,77.1,57,60.8,77.1,0,N,791.03,11:35,01.08.2009
30.24,80.9,52,77.5,56,60.6,77.5,0,NE,791.03,11:40,01.08.2009
30.24,80.9,52,77.7,56,60.8,77.7,0,NE,791.03,11:45,01.08.2009
30.24,81.1,52,77.9,55,60.4,77.9,0,NE,791.03,11:50,01.08.2009
30.24,81.1,52,78,55,60.6,78,0,NNW,791.03,11:55,01.08.2009
30.24,81.1,52,78.4,54,60.4,78.4,0,E,791.03,12:00,01.08.2009
30.24,81.1,51,78.6,55,61.1,78.6,0,WNW,791.03,12:05,01.08.2009
30.24,81.1,51,78.6,54,60.6,78.6,0,N,791.03,12:10,01.08.2009
30.24,81.3,51,78.6,54,60.6,78.6,0,NNE,791.03,12:15,01.08.2009
30.24,81.3,51,78.6,53,60.1,78.6,0,E,791.03,12:20,01.08.2009
30.25,81.3,51,78.9,54,60.9,78.9,0,NNE,791.03,12:25,01.08.2009
30.25,81.3,51,78.9,53,60.4,78.9,0,N,791.03,12:30,01.08.2009
30.25,81.3,51,79.3,53,60.7,79.3,0,NNW,791.03,12:35,01.08.2009
30.24,81.3,51,79.5,52,60.4,79.5,0,NE,791.03,12:40,01.08.2009
30.24,81.3,51,79.7,53,61.1,79.7,0,NNW,791.03,12:45,01.08.2009
30.24,81.3,51,80,52,60.9,80,0,NNW,791.03,12:50,01.08.2009
30.24,81.5,51,80.2,55,62.6,80.2,0,ESE,791.03,12:55,01.08.2009
30.23,81.5,51,80.4,56,63.3,80.4,0,SSW,791.03,13:00,01.08.2009
30.24,81.5,51,80.7,56,63.6,80.7,0,SW,791.03,13:05,01.08.2009
30.23,81.6,52,81.3,55,63.6,81.3,2.4,SSW,791.03,13:10,01.08.2009
30.23,81.6,52,82,54,63.8,82,0,WSW,791.03,13:15,01.08.2009
30.23,81.6,52,82.9,53,64.1,82.9,0,SW,791.03,13:20,01.08.2009
30.23,81.8,52,83.6,52,64.2,83.6,0,W,791.03,13:25,01.08.2009
30.23,82,52,84.2,51,64.1,84.2,0,SSW,791.03,13:30,01.08.2009
30.23,82,52,85.4,49,64.1,85.4,0,SW,791.03,13:35,01.08.2009
30.23,82,52,86.1,49,64.8,86.1,0,SW,791.03,13:40,01.08.2009
30.23,82.2,52,86.7,48,64.7,86.7,0,SW,791.03,13:45,01.08.2009
30.23,82.2,52,87.8,47,65.1,87.8,0,SW,791.03,13:50,01.08.2009
30.22,82.4,51,88.5,46,65.1,88.5,0,SSW,791.03,13:55,01.08.2009
30.22,82.4,51,89.2,46,65.8,89.2,0,E,791.03,14:00,01.08.2009
30.22,82.4,52,89.7,45,65.6,89.7,0,SW,791.03,14:05,01.08.2009
30.22,82.5,52,90.1,45,66,90.1,0,WNW,791.03,14:10,01.08.2009
30.22,82.5,52,90.6,44,65.8,90.6,0,S,791.03,14:15,01.08.2009
30.22,82.5,52,91.9,43,66.3,91.9,0,SSW,791.03,14:20,01.08.2009
30.22,82.7,52,92.4,42,66.1,92.4,0,S,791.03,14:25,01.08.2009
30.22,82.7,52,92.8,42,66.4,92.8,0,W,791.03,14:30,01.08.2009
30.22,82.7,52,93.7,40,65.8,93.7,0,SSE,791.03,14:35,01.08.2009
30.22,82.7,52,93.5,40,65.6,93.5,0,SSE,791.03,14:40,01.08.2009
30.22,82.9,52,93.5,41,66.3,93.5,0,SSW,791.03,14:45,01.08.2009
30.21,82.9,52,94.8,40,66.8,94.8,0,SW,791.03,14:50,01.08.2009
30.21,83.1,52,96.4,39,67.5,96.4,0,SSW,791.03,14:55,01.08.2009
30.21,83.1,52,97.7,37,67,97.7,0,WSW,791.03,15:00,01.08.2009
30.21,83.1,52,99.3,37,68.5,99.3,0,S,791.03,15:05,01.08.2009
30.21,83.3,52,100.5,37,69.6,100.5,0,NW,791.03,15:10,01.08.2009
30.21,83.4,52,101.8,36,69.9,101.8,0,SW,791.03,15:15,01.08.2009
30.21,83.4,52,104.5,34,70.6,104.5,0,NW,791.03,15:20,01.08.2009
30.21,83.4,52,105.9,34,71.8,105.9,0,W,791.03,15:25,01.08.2009
30.21,83.8,52,107.2,33,72,107.2,0,NE,791.03,15:30,01.08.2009
30.21,83.8,52,109.2,31,71.9,109.2,0.4,NE,791.03,15:35,01.08.2009
30.21,83.8,52,110.6,30,72.2,110.6,0,W,791.03,15:40,01.08.2009
30.21,84,52,112.2,29,72.6,112.2,0,SW,791.03,15:45,01.08.2009
30.21,84.2,53,113.9,28,72.9,113.9,0,N,791.03,15:50,01.08.2009
30.21,84.2,52,114.6,28,73.5,114.6,0,SSW,791.03,15:55,01.08.2009
30.21,84.2,52,114.9,27,72.7,114.9,0,NNW,791.03,16:00,01.08.2009
30.2,84.3,52,115.5,27,73.2,115.5,0,NNW,791.03,16:05,01.08.2009
30.2,84.5,52,116,26,72.5,116,0,NNW,791.03,16:10,01.08.2009
30.2,84.5,52,116.2,26,72.7,116.2,1.3,NNW,791.03,16:15,01.08.2009
30.2,84.5,52,116.2,25,71.5,116.2,0,NW,791.03,16:20,01.08.2009
30.2,84.7,52,116.4,25,71.7,116.4,0,N,791.03,16:25,01.08.2009
30.2,84.7,52,116.9,25,72.1,116.9,0,WSW,791.03,16:30,01.08.2009
30.2,84.9,51,117.1,25,72.3,117.1,0,WSW,791.03,16:35,01.08.2009
30.2,84.9,51,116.7,25,72,116.7,0,NW,791.03,16:40,01.08.2009
30.2,84.9,51,116.6,24,70.6,116.6,1.3,WSW,791.03,16:45,01.08.2009
30.2,84.9,51,115.7,25,71.1,115.7,0,WSW,791.03,16:50,01.08.2009
30.2,84.9,51,115.7,25,71.1,115.7,0,WSW,791.03,16:55,01.08.2009
30.2,85.1,51,116,25,71.4,116,0,WSW,791.03,17:00,01.08.2009
30.2,85.1,50,116.7,24,70.7,116.7,0.8,WSW,791.03,17:05,01.08.2009
30.2,85.2,50,115.7,25,71.1,115.7,0,WSW,791.03,17:10,01.08.2009
30.2,85.2,50,115.3,25,70.8,115.3,0,WSW,791.03,17:15,01.08.2009
30.2,85.2,50,114.9,25,70.4,114.9,0,WSW,791.03,17:20,01.08.2009
30.2,85.2,50,114.6,25,70.1,114.6,0,WSW,791.03,17:25,01.08.2009
30.19,85.4,50,114,24,68.5,114,0,WSW,791.03,17:30,01.08.2009
30.19,85.4,50,113.7,24,68.2,113.7,0,WSW,791.03,17:35,01.08.2009
30.19,85.4,49,113.5,24,68.1,113.5,0,NW,791.03,17:40,01.08.2009
30.19,85.6,48,113.5,24,68.1,113.5,0,NW,791.03,17:45,01.08.2009
30.19,85.6,48,113.3,23,66.7,113.3,0,N,791.03,17:50,01.08.2009
30.19,85.8,48,112.8,23,66.2,112.8,0,N,791.03,17:55,01.08.2009
30.19,86,48,111.9,23,65.5,111.9,0,N,791.03,18:00,01.08.2009
30.19,86,47,110.4,24,65.5,110.4,0,SE,791.03,18:05,01.08.2009
30.2,86,47,110.4,24,65.5,110.4,0,NW,791.03,18:10,01.08.2009
30.2,86,47,110.6,24,65.7,110.6,0,N,791.03,18:15,01.08.2009
30.19,86,47,110.8,24,65.8,110.8,0,NW,791.03,18:20,01.08.2009
30.19,86.1,47,110.1,24,65.2,110.1,0,WSW,791.03,18:25,01.08.2009
30.19,86.1,46,109.2,26,66.8,109.2,0,W,791.03,18:30,01.08.2009
30.19,86.1,46,108.3,27,67.1,108.3,0,NNW,791.03,18:35,01.08.2009
30.19,86.1,46,108.1,27,66.9,108.1,0,N,791.03,18:40,01.08.2009
30.19,86.3,47,107.4,28,67.4,107.4,0,NW,791.03,18:45,01.08.2009
30.19,86.3,47,105.9,29,67.2,105.9,0,NNW,791.03,18:50,01.08.2009
30.19,86.3,47,105,30,67.4,105,0,NNE,791.03,18:55,01.08.2009
30.19,86.3,47,104.1,30,66.6,104.1,0,NW,791.03,19:00,01.08.2009
30.19,86.3,48,102.2,31,65.9,102.2,0,NNE,791.03,19:05,01.08.2009
30.19,86.3,48,101.3,32,66,101.3,0,NNW,791.03,19:10,01.08.2009
30.2,86.3,48,100.2,33,65.9,100.2,0,NNE,791.03,19:15,01.08.2009
30.2,86.3,48,98.2,34,65.1,98.2,0,ENE,791.03,19:20,01.08.2009
30.2,86.3,48,96.6,34,63.7,96.6,0,NNE,791.03,19:25,01.08.2009
30.2,86.5,48,94.8,35,62.9,94.8,0,NE,791.03,19:30,01.08.2009
30.2,86.5,48,92.4,38,63.2,92.4,0,N,791.03,19:35,01.08.2009
30.2,86.5,49,90.8,39,62.5,90.8,0,NW,791.03,19:40,01.08.2009
30.2,86.5,48,89.4,40,61.9,89.4,0,NNE,791.03,19:45,01.08.2009
30.2,86.3,48,87.6,41,61,87.6,0,ENE,791.03,19:50,01.08.2009
30.2,86.3,48,86.7,42,60.9,86.7,0,NNE,791.03,19:55,01.08.2009
30.2,86.3,48,86.1,43,61.1,86.1,0,NNE,791.03,20:00,01.08.2009
30.21,86.3,48,85.2,46,62.2,85.2,0,NE,791.03,20:05,01.08.2009
30.21,86.1,49,84.3,48,62.6,84.3,0,NE,791.03,20:10,01.08.2009
30.21,86.1,49,83.6,49,62.5,83.6,0,NNE,791.03,20:15,01.08.2009
30.21,86.1,49,82.9,51,63,82.9,0,NNE,791.03,20:20,01.08.2009
30.21,86.1,50,82.2,52,62.9,82.2,0,NNE,791.03,20:25,01.08.2009
30.2,86.1,50,81.5,53,62.7,81.5,0,E,791.03,20:30,01.08.2009
30.2,86.1,50,81.1,53,62.4,81.1,0,NNE,791.03,20:35,01.08.2009
30.21,86,50,80.6,54,62.4,80.6,0,E,791.03,20:40,01.08.2009
30.2,86,50,80,56,63,80,0,N,791.03,20:45,01.08.2009
30.2,86,51,79.7,57,63.1,79.7,0,NE,791.03,20:50,01.08.2009
30.21,86,51,79.5,57,63,79.5,0,NW,791.03,20:55,01.08.2009
30.21,86,51,79.1,59,63.6,79.1,0,ESE,791.03,21:00,01.08.2009
30.21,86,51,78.9,60,63.9,78.9,0,ENE,791.03,21:05,01.08.2009
30.21,86,51,78.6,61,64.1,78.6,0,SSE,791.03,21:10,01.08.2009
30.21,86,52,78.6,62,64.5,78.6,0,ENE,791.03,21:15,01.08.2009
30.21,86,52,78.6,63,65,78.6,0,NNE,791.03,21:20,01.08.2009
30.21,86,52,78.4,63,64.8,78.4,0,N,791.03,21:25,01.08.2009
30.21,86,52,78.4,64,65.3,78.4,0,ENE,791.03,21:30,01.08.2009
30.21,85.8,53,78,64,64.9,78,0,N,791.03,21:35,01.08.2009
30.21,86,53,78,65,65.4,78,0,ENE,791.03,21:40,01.08.2009
30.21,85.8,53,77.9,66,65.6,77.9,0,NE,791.03,21:45,01.08.2009
30.21,86,53,77.7,66,65.5,77.7,0,NNE,791.03,21:50,01.08.2009
30.2,86,53,77.7,66,65.5,77.7,0,NE,791.03,21:55,01.08.2009
30.2,86,53,77.7,67,65.9,77.7,0,SW,791.03,22:00,01.08.2009
30.2,86,53,77.7,67,65.9,77.7,0,NNE,791.03,22:05,01.08.2009
30.2,86,53,77.5,67,65.7,77.5,0,NE,791.03,22:10,01.08.2009
30.2,86,54,77.5,68,66.1,77.5,0,NE,791.03,22:15,01.08.2009
30.2,86,54,77.5,68,66.1,77.5,0,E,791.03,22:20,01.08.2009
30.2,85.8,54,77.5,68,66.1,77.5,0,NNE,791.03,22:25,01.08.2009
30.2,85.8,54,77.5,68,66.1,77.5,0,ENE,791.03,22:30,01.08.2009
30.2,85.8,54,77.3,68,66,77.3,0,WSW,791.03,22:35,01.08.2009
30.2,85.6,54,77.1,67,65.4,77.1,0,WNW,791.03,22:40,01.08.2009
30.2,85.6,54,77.1,68,65.8,77.1,0,NE,791.03,22:45,01.08.2009
30.19,85.6,54,77.1,68,65.8,77.1,0,NE,791.03,22:50,01.08.2009
30.19,85.6,54,77,69,66.1,77,0,ENE,791.03,22:55,01.08.2009
30.2,85.6,54,76.8,69,65.9,76.8,0,S,791.03,23:00,01.08.2009
30.19,85.6,54,76.8,70,66.3,76.8,0,NNE,791.03,23:05,01.08.2009
30.2,85.6,54,76.6,70,66.1,76.6,0,WSW,791.03,23:10,01.08.2009
30.2,85.6,54,76.6,70,66.1,76.6,0,S,791.03,23:15,01.08.2009
30.2,85.6,55,76.4,71,66.4,76.4,0,NE,791.03,23:20,01.08.2009
30.21,85.6,55,76.2,71,66.2,76.2,0,SE,791.03,23:25,01.08.2009
30.21,85.6,55,76.2,71,66.2,76.2,0,NNW,791.03,23:30,01.08.2009
30.21,85.6,55,76.1,71,66,76.1,0,SSW,791.03,23:35,01.08.2009
30.2,85.4,55,76.1,71,66,76.1,0,NE,791.03,23:40,01.08.2009
30.2,85.4,55,75.9,72,66.2,75.9,0,NNE,791.03,23:45,01.08.2009
30.19,85.4,55,75.9,72,66.2,75.9,0,NE,791.03,23:50,01.08.2009
30.18,85.6,55,75.9,72,66.2,75.9,0,ENE,791.03,23:55,01.08.2009
30.18,85.2,55,75.9,72,66.2,75.9,0,NNE,791.03,0:00,02.08.2009
30.18,85.4,55,75.7,72,66.1,75.7,0,SSW,791.03,0:05,02.08.2009
30.18,85.4,55,75.7,72,66.1,75.7,0,SW,791.03,0:10,02.08.2009
30.18,85.4,55,75.7,72,66.1,75.7,0,WSW,791.03,0:15,02.08.2009
30.18,85.4,55,75.7,73,66.5,75.7,0,SE,791.03,0:20,02.08.2009
30.18,85.2,55,75.5,73,66.3,75.5,0,ESE,791.03,0:25,02.08.2009
30.18,85.2,55,75.5,73,66.3,75.5,0,SW,791.03,0:30,02.08.2009
30.18,85.2,55,75.3,73,66.1,75.3,0,S,791.03,0:35,02.08.2009
30.18,85.4,55,75.3,73,66.1,75.3,0,SSE,791.03,0:40,02.08.2009
30.18,85.6,55,75.3,73,66.1,75.3,0,S,791.03,0:45,02.08.2009
30.17,85.6,55,75.3,74,66.5,75.3,0,W,791.03,0:50,02.08.2009
30.17,85.6,55,75.3,74,66.5,75.3,0,NE,791.03,0:55,02.08.2009
30.17,85.6,55,75.3,74,66.5,75.3,0,NNE,791.03,1:00,02.08.2009
30.17,85.4,55,75.3,75,66.9,75.3,0,WSW,791.03,1:05,02.08.2009
30.17,85.4,55,75.3,75,66.9,75.3,0,WSW,791.03,1:10,02.08.2009
30.17,85.2,55,75.3,75,66.9,75.3,0,SSW,791.03,1:15,02.08.2009
30.17,85.2,56,75.3,75,66.9,75.3,0,SSW,791.03,1:20,02.08.2009
30.17,85.2,56,75.3,75,66.9,75.3,0,W,791.03,1:25,02.08.2009
30.17,85.2,56,75.3,75,66.9,75.3,0,NNW,791.03,1:30,02.08.2009
30.17,85.2,56,75.3,76,67.3,75.3,0,SSW,791.03,1:35,02.08.2009
30.17,85.2,56,75.2,76,67.1,75.2,0,N,791.03,1:40,02.08.2009
30.17,85.2,56,75,75,66.6,75,0,NE,791.03,1:45,02.08.2009
30.17,85.2,56,75,75,66.6,75,0,NE,791.03,1:50,02.08.2009
30.17,85.2,56,75,75,66.6,73.5,5.3,S,791.03,1:55,02.08.2009
30.17,85.2,56,75,76,66.9,75,0,SSW,791.03,2:00,02.08.2009
30.17,85.1,56,75,76,66.9,75,0,SSW,791.03,2:05,02.08.2009
30.17,85.1,56,75,76,66.9,75,0,SSW,791.03,2:10,02.08.2009
